WriteTemp,ReadTemp,DateTime
223.7,25.0,2026-04-09 18:26:21.919507
224.3,25.0,2026-04-09 18:26:23.920451
225.0,25.0,2026-04-09 18:26:25.911895
225.7,25.0,2026-04-09 18:26:27.912236
226.3,25.0,2026-04-09 18:26:29.912466
227.0,25.0,2026-04-09 18:26:31.912691
227.7,25.0,2026-04-09 18:26:33.912926
228.3,25.0,2026-04-09 18:26:35.913204
229.0,25.0,2026-04-09 18:26:37.913769
229.7,25.0,2026-04-09 18:26:39.914056
230.3,25.0,2026-04-09 18:26:41.914524
231.0,25.0,2026-04-09 18:26:43.914790
231.7,25.0,2026-04-09 18:26:45.915174
232.3,25.0,2026-04-09 18:26:47.915853
233.0,25.0,2026-04-09 18:26:49.916126
233.7,25.0,2026-04-09 18:26:51.916330
234.3,25.0,2026-04-09 18:26:53.916788
235.0,25.0,2026-04-09 18:26:55.908250
235.7,25.0,2026-04-09 18:26:57.908601
236.3,25.0,2026-04-09 18:26:59.908788
237.0,25.0,2026-04-09 18:27:01.908985
237.7,25.0,2026-04-09 18:27:03.909463
238.3,25.0,2026-04-09 18:27:05.909980
239.0,25.0,2026-04-09 18:27:07.910613
239.7,25.0,2026-04-09 18:27:09.911462
240.3,25.0,2026-04-09 18:27:11.912247
241.0,25.0,2026-04-09 18:27:13.913102
241.7,25.0,2026-04-09 18:27:15.913872
242.3,25.0,2026-04-09 18:27:17.914451
243.0,25.0,2026-04-09 18:27:19.914770
243.7,25.0,2026-04-09 18:27:21.914991
244.3,25.0,2026-04-09 18:27:23.915408
245.0,25.0,2026-04-09 18:27:25.907945
245.7,25.0,2026-04-09 18:27:27.908416
246.3,25.0,2026-04-09 18:27:29.908717
247.0,25.0,2026-04-09 18:27:31.909235
247.7,25.0,2026-04-09 18:27:33.909719
248.3,25.0,2026-04-09 18:27:35.910055
249.0,25.0,2026-04-09 18:27:37.910690
249.7,25.0,2026-04-09 18:27:39.911026
250.3,25.0,2026-04-09 18:27:41.911403
251.0,25.0,2026-04-09 18:27:43.911863
251.7,25.0,2026-04-09 18:27:45.912185
252.3,25.0,2026-04-09 18:27:47.912740
253.0,25.0,2026-04-09 18:27:49.913096
253.7,25.0,2026-04-09 18:27:51.913616
254.3,25.0,2026-04-09 18:27:53.914147
255.0,25.0,2026-04-09 18:27:55.905376
255.7,25.0,2026-04-09 18:27:57.905824
256.3,25.0,2026-04-09 18:27:59.906203
257.0,25.0,2026-04-09 18:28:01.906726
257.7,25.0,2026-04-09 18:28:03.907211
258.3,25.0,2026-04-09 18:28:05.907764
259.0,25.0,2026-04-09 18:28:07.908132
259.7,25.0,2026-04-09 18:28:09.908684
260.3,25.0,2026-04-09 18:28:11.908965
261.0,25.0,2026-04-09 18:28:13.909424
261.7,25.0,2026-04-09 18:28:15.909805
262.3,25.0,2026-04-09 18:28:17.910361
263.0,25.0,2026-04-09 18:28:19.910798
263.7,25.0,2026-04-09 18:28:21.911321
264.3,25.0,2026-04-09 18:28:23.911969
265.0,25.0,2026-04-09 18:28:25.902492
265.7,25.0,2026-04-09 18:28:27.903052
266.3,25.0,2026-04-09 18:28:29.903444
267.0,25.0,2026-04-09 18:28:31.904094
267.7,25.0,2026-04-09 18:28:33.904448
268.3,25.0,2026-04-09 18:28:35.904810
269.0,25.0,2026-04-09 18:28:37.905506
269.7,25.0,2026-04-09 18:28:39.906285
270.3,25.0,2026-04-09 18:28:41.907250
271.0,25.0,2026-04-09 18:28:43.907828
271.7,25.0,2026-04-09 18:28:45.908758
272.3,25.0,2026-04-09 18:28:47.909461
273.0,25.0,2026-04-09 18:28:49.909794
273.7,25.0,2026-04-09 18:28:51.910326
274.3,25.0,2026-04-09 18:28:53.911038
275.0,25.0,2026-04-09 18:28:55.905569
275.7,25.0,2026-04-09 18:28:57.906117
276.3,25.0,2026-04-09 18:28:59.906686
277.0,25.0,2026-04-09 18:29:01.907228
277.7,25.0,2026-04-09 18:29:03.908046
278.3,25.0,2026-04-09 18:29:05.908486
279.0,25.0,2026-04-09 18:29:07.909194
279.7,25.0,2026-04-09 18:29:09.910281
280.3,25.0,2026-04-09 18:29:11.911075
281.0,25.0,2026-04-09 18:29:13.911711
281.7,25.0,2026-04-09 18:29:15.912422
282.3,25.0,2026-04-09 18:29:17.913539
283.0,25.0,2026-04-09 18:29:19.914047
283.7,25.0,2026-04-09 18:29:21.914710
284.3,25.0,2026-04-09 18:29:23.915629
285.0,25.0,2026-04-09 18:29:25.907008
285.7,25.0,2026-04-09 18:29:27.907752
286.3,25.0,2026-04-09 18:29:29.908205
287.0,25.0,2026-04-09 18:29:31.908841
287.7,25.0,2026-04-09 18:29:33.909816
288.3,25.0,2026-04-09 18:29:35.910463
289.0,25.0,2026-04-09 18:29:37.910943
289.7,25.0,2026-04-09 18:29:39.911507
290.3,25.0,2026-04-09 18:29:41.912444
291.0,25.0,2026-04-09 18:29:43.913239
291.7,25.0,2026-04-09 18:29:45.913736
292.3,25.0,2026-04-09 18:29:47.914263
293.0,25.0,2026-04-09 18:29:49.914733
293.7,25.0,2026-04-09 18:29:51.915541
294.3,25.0,2026-04-09 18:29:53.916126
295.0,25.0,2026-04-09 18:29:55.907723
295.7,25.0,2026-04-09 18:29:57.908286
296.3,25.0,2026-04-09 18:29:59.908693
297.0,25.0,2026-04-09 18:30:01.909318
297.7,25.0,2026-04-09 18:30:03.909828
298.3,25.0,2026-04-09 18:30:05.910343
299.0,25.0,2026-04-09 18:30:07.910753
299.7,25.0,2026-04-09 18:30:09.911159
300.3,25.0,2026-04-09 18:30:11.912075
301.0,25.0,2026-04-09 18:30:13.912842
301.7,25.0,2026-04-09 18:30:15.913246
302.3,25.0,2026-04-09 18:30:17.913967
303.0,25.0,2026-04-09 18:30:19.914219
303.7,25.0,2026-04-09 18:30:21.914579
304.3,25.0,2026-04-09 18:30:23.915009
305.0,25.0,2026-04-09 18:30:25.906798
305.7,25.0,2026-04-09 18:30:27.907550
306.3,25.0,2026-04-09 18:30:29.908137
307.0,25.0,2026-04-09 18:30:31.908695
307.7,25.0,2026-04-09 18:30:33.909220
308.3,25.0,2026-04-09 18:30:35.909831
309.0,25.0,2026-04-09 18:30:37.910507
309.7,25.0,2026-04-09 18:30:39.910969
310.3,25.0,2026-04-09 18:30:41.911445
311.0,25.0,2026-04-09 18:30:43.912019
311.7,25.0,2026-04-09 18:30:45.912593
312.3,25.0,2026-04-09 18:30:47.913329
313.0,25.0,2026-04-09 18:30:49.913871
313.7,25.0,2026-04-09 18:30:51.914658
314.3,25.0,2026-04-09 18:30:53.915387
315.0,25.0,2026-04-09 18:30:55.905973
315.7,25.0,2026-04-09 18:30:57.906306
316.3,25.0,2026-04-09 18:30:59.906606
317.0,25.0,2026-04-09 18:31:01.907119
317.7,25.0,2026-04-09 18:31:03.907654
318.3,25.0,2026-04-09 18:31:05.907882
319.0,25.0,2026-04-09 18:31:07.908068
319.7,25.0,2026-04-09 18:31:09.908365
320.3,25.0,2026-04-09 18:31:11.908995
321.0,25.0,2026-04-09 18:31:13.909447
321.7,25.0,2026-04-09 18:31:15.909838
322.3,25.0,2026-04-09 18:31:17.910210
323.0,25.0,2026-04-09 18:31:19.910425
323.7,25.0,2026-04-09 18:31:21.911324
324.3,25.0,2026-04-09 18:31:23.912109
325.0,25.0,2026-04-09 18:31:25.905001
325.7,25.0,2026-04-09 18:31:27.905809
326.3,25.0,2026-04-09 18:31:29.906365
327.0,25.0,2026-04-09 18:31:31.906799
327.7,25.0,2026-04-09 18:31:33.907488
328.3,25.0,2026-04-09 18:31:35.907829
329.0,25.0,2026-04-09 18:31:37.908320
329.7,25.0,2026-04-09 18:31:39.908641
330.3,25.0,2026-04-09 18:31:41.909290
331.0,25.0,2026-04-09 18:31:43.909984
331.7,25.0,2026-04-09 18:31:45.910242
332.3,25.0,2026-04-09 18:31:47.910609
333.0,25.0,2026-04-09 18:31:49.911127
333.7,25.0,2026-04-09 18:31:51.911764
334.3,25.0,2026-04-09 18:31:53.912648
335.0,25.0,2026-04-09 18:31:55.901356
335.7,25.0,2026-04-09 18:31:57.901915
336.3,25.0,2026-04-09 18:31:59.902326
337.0,25.0,2026-04-09 18:32:01.902934
